horse1_Age,horse1_Weight (kg),horse1_Horse Weight (kg),horse1_average_time,horse2_Age,horse2_Weight (kg),horse2_Horse Weight (kg),horse2_average_time,horse3_Age,horse3_Weight (kg),horse3_Horse Weight (kg),horse3_average_time,horse4_Age,horse4_Weight (kg),horse4_Horse Weight (kg),horse4_average_time,horse5_Age,horse5_Weight (kg),horse5_Horse Weight (kg),horse5_average_time,horse6_Age,horse6_Weight (kg),horse6_Horse Weight (kg),horse6_average_time,horse7_Age,horse7_Weight (kg),horse7_Horse Weight (kg),horse7_average_time,horse8_Age,horse8_Weight (kg),horse8_Horse Weight (kg),horse8_average_time,horse9_Age,horse9_Weight (kg),horse9_Horse Weight (kg),horse9_average_time,horse10_Age,horse10_Weight (kg),horse10_Horse Weight (kg),horse10_average_time,horse11_Age,horse11_Weight (kg),horse11_Horse Weight (kg),horse11_average_time,horse12_Age,horse12_Weight (kg),horse12_Horse Weight (kg),horse12_average_time,horse13_Age,horse13_Weight (kg),horse13_Horse Weight (kg),horse13_average_time,horse14_Age,horse14_Weight (kg),horse14_Horse Weight (kg),horse14_average_time,horse15_Age,horse15_Weight (kg),horse15_Horse Weight (kg),horse15_average_time,horse16_Age,horse16_Weight (kg),horse16_Horse Weight (kg),horse16_average_time,target
6,54.0,472.0,108.175,5,55.0,456.0,116.91666666666667,5,55.0,468.0,120.075,6,57.0,440.0,108.86666666666667,5,55.0,448.0,123.66,7,57.0,470.0,125.75999999999999,5,53.0,472.0,95.83333333333333,6,59.0,464.0,101.52000000000001,7,54.0,450.0,115.65,5,50.0,508.0,123.0,9,54.0,456.0,118.76666666666667,5,52.0,428.0,110.35,7,53.0,496.0,122.1,5,56.0,488.0,121.05999999999999,6,56.0,462.0,119.35,5,52.0,460.0,109.44999999999999,4
5,54.0,460.0,93.925,7,57.0,498.0,118.36666666666667,5,54.0,510.0,95.85,5,55.0,510.0,120.10000000000001,5,57.0,498.0,109.8,5,56.0,522.0,97.4,7,56.0,468.0,106.36666666666667,7,58.0,464.0,113.56666666666666,6,60.0,476.0,117.83333333333333,6,54.0,468.0,116.91666666666667,6,55.0,486.0,97.5,7,55.0,496.0,78.56666666666666,7,51.0,492.0,96.5,8,53.0,496.0,97.0,5,55.0,470.0,95.4,7,56.0,450.0,87.39999999999999,14
4,56.0,440.0,123.0,4,56.0,408.0,125.2,4,56.0,492.0,123.2,4,56.0,482.0,125.0,4,56.0,454.0,110.4,4,56.0,500.0,124.4,4,56.0,444.0,109.2,4,56.0,480.0,123.9,4,56.0,434.0,138.75,4,56.0,512.0,123.4,4,56.0,474.0,123.2,4,56.0,452.0,124.0,4,56.0,454.0,125.5,4,56.0,416.0,124.9,4,56.0,474.0,123.3,4,56.0,492.0,122.8,15
5,52.0,466.0,95.7,5,52.0,450.0,105.63333333333333,5,52.0,488.0,95.4,4,51.0,454.0,95.3,5,52.0,482.0,108.4,4,51.0,480.0,96.2,5,52.0,464.0,117.25,4,51.0,434.0,97.1,6,55.0,446.0,82.23333333333333,5,54.0,504.0,114.53333333333335,6,56.0,466.0,94.5,5,54.0,442.0,112.73333333333333,6,52.0,472.0,94.8,5,53.0,474.0,112.72857142857143,4,52.0,482.0,93.65,5,52.0,464.0,94.4,11
6,55.0,468.0,120.675,5,55.0,468.0,132.93333333333334,8,52.0,464.0,120.7,5,53.0,514.0,137.35,6,53.0,490.0,137.8,6,56.0,434.0,116.56666666666666,5,49.0,436.0,112.73333333333333,8,54.0,478.0,125.75999999999999,8,56.0,508.0,122.63333333333333,7,55.0,522.0,136.7,5,52.0,424.0,104.39999999999999,7,51.0,452.0,121.4,9,51.0,452.0,122.6,5,53.0,476.0,104.66666666666667,5,54.0,500.0,121.0,5,53.0,418.0,104.26666666666667,9
5,57.0,490.0,78.0,6,55.0,452.0,68.7,7,57.0,460.0,76.74,6,57.0,476.0,93.62,4,53.0,452.0,75.2,5,57.0,546.0,119.47999999999999,4,53.0,432.0,67.7,5,57.0,508.0,68.85,4,55.0,486.0,81.0,6,55.0,448.0,82.23333333333333,4,55.0,450.0,68.9,5,57.0,460.0,68.19999999999999,8,57.0,524.0,78.75999999999999,4,53.0,438.0,78.76666666666667,7,57.0,476.0,70.8,7,57.0,468.0,87.39999999999999,6
3,53.0,444.0,71.3,3,53.0,426.0,71.1,3,53.0,446.0,71.3,3,53.0,432.0,88.26,3,53.0,426.0,84.35,3,53.0,412.0,83.94999999999999,3,53.0,470.0,89.5,3,53.0,448.0,70.8,3,53.0,428.0,78.25,3,53.0,448.0,70.9,3,53.0,436.0,69.8,3,53.0,460.0,83.94999999999999,3,53.0,424.0,71.5,3,53.0,436.0,70.5,3,53.0,400.0,71.0,3,53.0,416.0,70.3,3
5,53.0,462.0,121.13333333333333,6,54.0,458.0,116.4,7,56.0,476.0,109.05714285714285,5,56.0,520.0,118.23333333333333,5,54.0,474.0,109.4,6,52.0,452.0,108.3,6,57.0,472.0,114.27000000000001,5,52.0,478.0,112.72857142857143,7,54.0,564.0,109.2,8,54.0,510.0,119.39999999999999,6,53.0,432.0,116.1,5,53.0,470.0,104.8,7,53.0,506.0,110.1,7,55.0,472.0,106.36666666666667,5,56.0,452.0,116.6,6,55.0,460.0,114.9,15
7,58.0,522.0,108.59230769230768,4,53.0,486.0,147.1,6,59.0,480.0,117.83333333333333,5,55.0,476.0,147.2,4,52.0,468.0,109.7,4,53.0,578.0,148.0,6,56.0,512.0,149.3,7,60.0,476.0,113.56666666666666,4,54.0,462.0,101.96666666666665,7,56.0,510.0,124.35,4,54.0,444.0,122.1,7,56.0,504.0,133.64999999999998,7,57.0,502.0,118.36666666666667,6,57.0,476.0,148.5,5,57.0,496.0,120.10000000000001,4,52.0,440.0,136.9,4
6,55.0,512.0,121.42,5,52.0,548.0,123.6,7,54.0,488.0,124.45,6,57.0,514.0,123.5,7,59.0,456.0,101.52000000000001,5,53.0,476.0,116.38333333333333,5,52.0,466.0,121.13333333333333,6,55.0,514.0,123.9,6,57.0,460.0,123.66,7,57.0,436.0,126.67500000000001,6,56.0,500.0,123.4,6,54.0,454.0,116.91666666666667,7,55.0,490.0,164.0,6,57.0,492.0,121.05999999999999,7,55.0,464.0,119.35,8,55.0,478.0,112.7,13
